subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Lotte_perfect_path,1509629772700972,1509630346789755,All_of_Main_trial_6,1,0.2983445,0.4335567,1,0.3085279,0.4396507
Lotte_perfect_path,1509629772717591,1509630346806376,All_of_Main_trial_6,1,0.3052467,0.4416429,1,0.3064898,0.4340423
Lotte_perfect_path,1509629772734215,1509630346823003,All_of_Main_trial_6,1,0.3020611,0.4289486,1,0.3081941,0.430326
Lotte_perfect_path,1509629772750846,1509630346839636,All_of_Main_trial_6,1,0.3009777,0.4337097,1,0.3096628,0.4397382
Lotte_perfect_path,1509629772767464,1509630346856257,All_of_Main_trial_6,1,0.2984432,0.4249409,1,0.3098059,0.4383069
Lotte_perfect_path,1509629772784214,1509630346873009,All_of_Main_trial_6,1,0.3051804,0.4332144,1,0.3063876,0.4460444
Lotte_perfect_path,1509629772800839,1509630346889636,All_of_Main_trial_6,1,0.3068767,0.4305078,1,0.3051381,0.438249
Lotte_perfect_path,1509629772817464,1509630346906264,All_of_Main_trial_6,1,0.3034706,0.4369327,1,0.300202,0.4309286
Lotte_perfect_path,1509629772834086,1509630346922888,All_of_Main_trial_6,1,0.3013624,0.4313296,1,0.3053533,0.4403296
Lotte_perfect_path,1509629772850836,1509630346939641,All_of_Main_trial_6,1,0.3027006,0.4393486,1,0.3032224,0.4297568
Lotte_perfect_path,1509629772867461,1509630346956268,All_of_Main_trial_6,1,0.3065093,0.4350699,1,0.3051068,0.4335882
Lotte_perfect_path,1509629772884085,1509630346972894,All_of_Main_trial_6,1,0.3044612,0.4329491,1,0.3022072,0.4218965
Lotte_perfect_path,1509629772900711,1509630346989523,All_of_Main_trial_6,1,0.2998686,0.4279505,1,0.3056456,0.4273345
Lotte_perfect_path,1509629772917335,1509630347006149,All_of_Main_trial_6,1,0.2997446,0.4304636,1,0.3107082,0.4310858
Lotte_perfect_path,1509629772934084,1509630347022901,All_of_Main_trial_6,1,0.310283,0.4208378,1,0.312992,0.4345993
Lotte_perfect_path,1509629772950708,1509630347039527,All_of_Main_trial_6,1,0.3036241,0.4223873,1,0.3132953,0.4406077
Lotte_perfect_path,1509629772967332,1509630347056153,All_of_Main_trial_6,1,0.3005792,0.4185272,1,0.314856,0.4549709
Lotte_perfect_path,1509629772983958,1509630347072782,All_of_Main_trial_6,1,0.3006576,0.4179109,1,0.3117027,0.4441126
Lotte_perfect_path,1509629773000708,1509630347089534,All_of_Main_trial_6,1,0.2954323,0.422946,1,0.3091978,0.4412068
Lotte_perfect_path,1509629773017330,1509630347106159,All_of_Main_trial_6,1,0.2966867,0.4229848,1,0.314136,0.4429221
Lotte_perfect_path,1509629773033963,1509630347122794,All_of_Main_trial_6,1,0.2939682,0.4210029,1,0.3201293,0.4452157
Lotte_perfect_path,1509629773050586,1509630347139420,All_of_Main_trial_6,1,0.4428666,0.3921055,1,0.4489042,0.4188997
Lotte_perfect_path,1509629773067204,1509630347156040,All_of_Main_trial_6,0,NaN,NaN,1,0.5080603,0.4085681
Lotte_perfect_path,1509629773083961,1509630347172799,All_of_Main_trial_6,1,0.4972962,0.3937486,1,0.4981455,0.4021403
Lotte_perfect_path,1509629773100579,1509630347189420,All_of_Main_trial_6,1,0.5099804,0.3954215,1,0.5008265,0.405152
Lotte_perfect_path,1509629773117203,1509630347206046,All_of_Main_trial_6,1,0.5035599,0.3739057,1,0.5022591,0.4124874
Lotte_perfect_path,1509629773133828,1509630347222674,All_of_Main_trial_6,1,0.5030461,0.3848143,1,0.5016726,0.4080126
Lotte_perfect_path,1509629773150577,1509630347239425,All_of_Main_trial_6,1,0.5186824,0.3712277,1,0.5036801,0.4114604
Lotte_perfect_path,1509629773167203,1509630347256053,All_of_Main_trial_6,1,0.5124214,0.3902645,1,0.5020216,0.3941855
Lotte_perfect_path,1509629773183827,1509630347272680,All_of_Main_trial_6,1,0.5122719,0.3856509,1,0.4997147,0.4083904
Lotte_perfect_path,1509629773200450,1509630347289305,All_of_Main_trial_6,0,NaN,NaN,1,0.4742158,0.5244558
Lotte_perfect_path,1509629773217074,1509630347305932,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
