subjectID,system_time_stamp,point_description
pilot_0725,1501004705504780,Experiment Start
pilot_0725,1501004714768363,Start_Practice_Trial 
pilot_0725,1501004714895860,ambigAudio_Practice 
pilot_0725,1501004717596913,ambigAudio_Practice End 
pilot_0725,1501004717925525,ambigVideo_Practice 
pilot_0725,1501004723293580,ambigVideo_Practice 
pilot_0725,1501004723726070,ambigAudio_Practice_1_ball
pilot_0725,1501004726443448,ambigAudio_Practice_1_ball End
pilot_0725,1501004726709360,ambigVideo_Practice_1_ball
pilot_0725,1501004732911549,ambigVideo_Practice_1_ball End
pilot_0725,1501004733412377,trainingAudio_Practice_1_ball
pilot_0725,1501004736133268,trainingAudio_Practice_1_ball
pilot_0725,1501004736440076,trainingVideo_Practice_1_ball
pilot_0725,1501004740148606,trainingVideo_Practice_1_ball
pilot_0725,1501004740491354,trainingAudio_Practice_3_ball
pilot_0725,1501004743183566,trainingAudio_Practice_3_ball End
pilot_0725,1501004743520381,trainingVideo_Practice_3_ball
pilot_0725,1501004748488454,trainingVideo_Practice_3_ball
pilot_0725,1501004748941923,testAudio_Practice_ball
pilot_0725,1501004751368475,testAudio_Practice_ball End
pilot_0725,1501004751631637,left_testVideo_Practice_ball
pilot_0725,1501004756961721,left_testVideo_Practice_ball End
pilot_0725,1501004757426836,right_testVideo_Practice_ball
pilot_0725,1501004761930898,testAudio_Practice_ball
pilot_0725,1501004764727962,testVideos_Practice_ball
pilot_0725,1501004773349902,End_Practice_Trial_1 
pilot_0725,1501004773476716,recenter 
pilot_0725,1501004781696884,Start_Practice_Trial_2 
pilot_0725,1501004781804274,ambigAudio_Practice_book
pilot_0725,1501004784999971,ambigVideo_Practice_book
pilot_0725,1501004790287995,trainingAudio_Practice_1_book
pilot_0725,1501004792997109,trainingVideo_Practice_1_book
pilot_0725,1501004799153020,trainingAudio_Practice_2_book
pilot_0725,1501004802010182,trainingVideo_Practice_2_book
pilot_0725,1501004808177373,trainingAudio_Practice_3_book
pilot_0725,1501004810985765,trainingVideo_Practice_3_book
pilot_0725,1501004817215180,testAudio_Practice_book
pilot_0725,1501004819851944,left_testVideo_Practice_book
pilot_0725,1501004825718881,right_testVideo_Practice_book
pilot_0725,1501004831032743,testAudio_Practice_book
pilot_0725,1501004833645734,testVideos_Practice_book
pilot_0725,1501004842306313,End_Practice_Trial_2 
pilot_0725,1501004842438250,recenter 
pilot_0725,1501004849714273,Start_Practice_Trial_3 
pilot_0725,1501004849771422,ambigAudio_Practice_1_cake
pilot_0725,1501004853058300,ambigVideo_Practice_1_cake
pilot_0725,1501004858403139,trainingAudio_Practice_1_cake
pilot_0725,1501004861280333,trainingVideo_Practice_1_cake
pilot_0725,1501004867936518,trainingAudio_Practice_1_cake
pilot_0725,1501004870781680,trainingVideo_Practice_2_cake
pilot_0725,1501004875850325,trainingAudio_Practice_3_cake
pilot_0725,1501004878656104,trainingVideo_Practice_3_cake
pilot_0725,1501004883667838,testAudio_Practice_cake
pilot_0725,1501004886793476,left_testVideo_Practice_cake
pilot_0725,1501004893249520,right_testVideo_Practice_cake
pilot_0725,1501004898487516,testAudio_Practice_cake
pilot_0725,1501004901483336,testVideos_Practice_cake
pilot_0725,1501004910708605,End__Practice_Trial_3 
pilot_0725,1501004910863559,recenter 
pilot_0725,1501004920690042,Start_Practice_Trial_4 
pilot_0725,1501004920817698,ambigAudio_Practice_car
pilot_0725,1501004924676997,ambigVideo_Practice_car
pilot_0725,1501004930420204,trainingAudio_Practice_1_car
pilot_0725,1501004933924310,trainingVideo_Practice_1_car
pilot_0725,1501004939719951,trainingAudio_Practice_2_car
pilot_0725,1501004943363953,trainingVideo_Practice_2_car
pilot_0725,1501004948074525,trainingAudio_Practice_3_car
pilot_0725,1501004951826535,trainingVideo_Practice_3_car
pilot_0725,1501004957462603,testAudio_Practice_car
pilot_0725,1501004960789635,left_testVideo_Practice_car
pilot_0725,1501004967006340,right_testVideo_Practice_car
pilot_0725,1501004973281396,testAudio_Practice_car
pilot_0725,1501004976678774,testVideos_Practice_car
pilot_0725,1501004985829691,End_Practice_Trial_4 
pilot_0725,1501004986089795,recenter 
