subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_0804,1501855227680634,1501855766279052,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227697300,1501855766295719,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227713968,1501855766312389,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227730082,1501855766328504,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227747334,1501855766345758,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227763341,1501855766361766,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227780087,1501855766378514,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227796753,1501855766395181,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227813460,1501855766411890,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227830085,1501855766428516,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227846751,1501855766445184,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227863336,1501855766461770,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227880586,1501855766479021,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227896711,1501855766495148,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227913722,1501855766512160,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227930279,1501855766528719,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227946945,1501855766545386,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227963578,1501855766562021,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227980244,1501855766578688,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855227996845,1501855766595291,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228013463,1501855766611910,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228030154,1501855766628603,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228046820,1501855766645270,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228063455,1501855766661907,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228080121,1501855766678574,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228097106,1501855766695561,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228113772,1501855766712228,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228130244,1501855766728701,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228146910,1501855766745369,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228163813,1501855766762273,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228180479,1501855766778941,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228196767,1501855766795230,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228213433,1501855766811898,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228230099,1501855766828565,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228246409,1501855766844877,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228263075,1501855766861544,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228279528,1501855766877999,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228296194,1501855766894666,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501855228312770,1501855766911243,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
