subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_0807,1502111271588860,1502111810938396,All_of_Main_trial_7,1,0.4353642,0.3729877,1,0.4262344,0.380359
pilot_0807,1502111271605486,1502111810955024,All_of_Main_trial_7,1,0.440067,0.3571681,1,0.4195024,0.3893612
pilot_0807,1502111271622113,1502111810971652,All_of_Main_trial_7,1,0.4348925,0.3583523,1,0.4154883,0.3888207
pilot_0807,1502111271638862,1502111810988403,All_of_Main_trial_7,1,0.4297211,0.3619805,1,0.4158124,0.3982187
pilot_0807,1502111271655488,1502111811005031,All_of_Main_trial_7,1,0.4272291,0.3616199,1,0.4241921,0.3884101
pilot_0807,1502111271672129,1502111811021674,All_of_Main_trial_7,1,0.4299632,0.3666995,1,0.4213942,0.3882979
pilot_0807,1502111271688739,1502111811038286,All_of_Main_trial_7,1,0.4329903,0.3638347,1,0.427077,0.3934916
pilot_0807,1502111271705364,1502111811054913,All_of_Main_trial_7,1,0.4465612,0.3601908,1,0.422895,0.3863894
pilot_0807,1502111271722112,1502111811071663,All_of_Main_trial_7,1,0.4431197,0.3700863,1,0.4295935,0.3982001
pilot_0807,1502111271738738,1502111811088291,All_of_Main_trial_7,1,0.4459082,0.3771274,1,0.4213873,0.38981
pilot_0807,1502111271755364,1502111811104918,All_of_Main_trial_7,1,0.4390207,0.3750929,1,0.4201133,0.3917854
pilot_0807,1502111271771989,1502111811121545,All_of_Main_trial_7,1,0.4413512,0.3758102,1,0.432303,0.3855025
pilot_0807,1502111271788740,1502111811138298,All_of_Main_trial_7,1,0.4381837,0.3744388,1,0.4259941,0.3863539
pilot_0807,1502111271805365,1502111811154925,All_of_Main_trial_7,1,0.4402717,0.375337,1,0.4201115,0.3949084
pilot_0807,1502111271821990,1502111811171551,All_of_Main_trial_7,1,0.4427262,0.3624186,1,0.4258146,0.3826719
pilot_0807,1502111271838616,1502111811188179,All_of_Main_trial_7,1,0.4399652,0.3722565,1,0.4245688,0.3849543
pilot_0807,1502111271855241,1502111811204806,All_of_Main_trial_7,1,0.4366201,0.3773703,1,0.4221428,0.3936411
pilot_0807,1502111271871992,1502111811221559,All_of_Main_trial_7,1,0.4394453,0.3755624,1,0.4289512,0.3962848
pilot_0807,1502111271888617,1502111811238186,All_of_Main_trial_7,1,0.4476998,0.3766659,1,0.425042,0.3933682
pilot_0807,1502111271905241,1502111811254812,All_of_Main_trial_7,1,0.4439245,0.3804637,1,0.4222934,0.395281
pilot_0807,1502111271921866,1502111811271439,All_of_Main_trial_7,1,0.4470677,0.3797202,1,0.4316166,0.3972256
pilot_0807,1502111271938622,1502111811288197,All_of_Main_trial_7,1,0.4404844,0.392512,1,0.4303081,0.3943109
pilot_0807,1502111271955243,1502111811304819,All_of_Main_trial_7,1,0.4472203,0.3738968,1,0.4298775,0.39357
pilot_0807,1502111271971868,1502111811321446,All_of_Main_trial_7,1,0.4605116,0.3708194,1,0.4309166,0.3889779
pilot_0807,1502111271988619,1502111811338199,All_of_Main_trial_7,1,0.4423943,0.3723704,1,0.4308092,0.3915932
pilot_0807,1502111272005242,1502111811354824,All_of_Main_trial_7,1,0.4551114,0.3705929,1,0.4364737,0.3987142
pilot_0807,1502111272021871,1502111811371454,All_of_Main_trial_7,1,0.5310147,0.3986939,1,0.5248125,0.4207464
pilot_0807,1502111272038495,1502111811388080,All_of_Main_trial_7,1,0.6766015,0.4466819,1,0.6465979,0.4852714
pilot_0807,1502111272055252,1502111811404839,All_of_Main_trial_7,1,0.7492325,0.4699662,1,0.7236836,0.519911
pilot_0807,1502111272071871,1502111811421461,All_of_Main_trial_7,1,0.8148106,0.4805962,1,0.7836027,0.5226234
pilot_0807,1502111272088494,1502111811438085,All_of_Main_trial_7,1,0.8125214,0.5004146,1,0.7855867,0.5145373
pilot_0807,1502111272105120,1502111811454713,All_of_Main_trial_7,1,0.8071643,0.4871107,1,0.7932224,0.5253904
pilot_0807,1502111272121745,1502111811471340,All_of_Main_trial_7,1,0.8125396,0.4811644,1,0.7809414,0.5272047
pilot_0807,1502111272138371,1502111811487968,All_of_Main_trial_7,1,0.8017101,0.4878354,1,0.7762098,0.5243657
pilot_0807,1502111272155122,1502111811504720,All_of_Main_trial_7,1,0.8077752,0.4898339,1,0.7814957,0.5227227
pilot_0807,1502111272171753,1502111811521353,All_of_Main_trial_7,1,0.8331836,0.5067401,1,0.7808713,0.5239408
pilot_0807,1502111272188373,1502111811537975,All_of_Main_trial_7,1,0.8094236,0.490272,1,0.7809044,0.5283255
pilot_0807,1502111272204998,1502111811554603,All_of_Main_trial_7,1,0.8067033,0.4961523,1,0.7780567,0.5493187
pilot_0807,1502111272221749,1502111811571354,All_of_Main_trial_7,1,0.8193209,0.5051381,1,0.7773805,0.5230612
pilot_0807,1502111272238374,1502111811587982,All_of_Main_trial_7,1,0.8058422,0.4929828,1,0.7749938,0.5405818
pilot_0807,1502111272254999,1502111811604609,All_of_Main_trial_7,1,0.8058188,0.5023363,1,0.7835832,0.5294619
pilot_0807,1502111272271622,1502111811621234,All_of_Main_trial_7,1,0.8087221,0.4977173,1,0.7768202,0.5270916
pilot_0807,1502111272288248,1502111811637861,All_of_Main_trial_7,1,0.8175663,0.5089125,1,0.7760977,0.5255405
pilot_0807,1502111272304998,1502111811654613,All_of_Main_trial_7,1,0.8083025,0.5077278,1,0.7730467,0.5311618
pilot_0807,1502111272321624,1502111811671241,All_of_Main_trial_7,1,0.7321207,0.4784417,1,0.7307027,0.4994949
pilot_0807,1502111272338250,1502111811687869,All_of_Main_trial_7,1,0.562786,0.4451018,1,0.6670912,0.449593
pilot_0807,1502111272354875,1502111811704495,All_of_Main_trial_7,1,0.5163609,0.3823314,1,0.5888419,0.4230587
pilot_0807,1502111272371626,1502111811721248,All_of_Main_trial_7,0,NaN,NaN,1,0.5714561,0.4311716
pilot_0807,1502111272388252,1502111811737876,All_of_Main_trial_7,0,NaN,NaN,1,0.5604655,0.4242825
pilot_0807,1502111272404877,1502111811754503,All_of_Main_trial_7,0,NaN,NaN,1,0.5498091,0.4214801
pilot_0807,1502111272421515,1502111811771143,All_of_Main_trial_7,0,NaN,NaN,1,0.5241306,0.4210565
pilot_0807,1502111272438253,1502111811787883,All_of_Main_trial_7,0,NaN,NaN,1,0.5309318,0.4288282
pilot_0807,1502111272454877,1502111811804509,All_of_Main_trial_7,0,NaN,NaN,1,0.5387276,0.4316218
pilot_0807,1502111272471626,1502111811821260,All_of_Main_trial_7,0,NaN,NaN,1,0.4841084,0.4154644
pilot_0807,1502111272488252,1502111811837887,All_of_Main_trial_7,0,NaN,NaN,1,0.5429737,0.4381989
pilot_0807,1502111272504628,1502111811854265,All_of_Main_trial_7,0,NaN,NaN,1,0.4982106,0.4236269
pilot_0807,1502111272521503,1502111811871142,All_of_Main_trial_7,0,NaN,NaN,1,0.5019642,0.4273281
pilot_0807,1502111272537884,1502111811887525,All_of_Main_trial_7,0,NaN,NaN,1,0.5482444,0.4373897
pilot_0807,1502111272554503,1502111811904146,All_of_Main_trial_7,0,NaN,NaN,1,0.5329167,0.431848
pilot_0807,1502111272571129,1502111811920773,All_of_Main_trial_7,0,NaN,NaN,1,0.533566,0.4432061
pilot_0807,1502111272588130,1502111811937777,All_of_Main_trial_7,0,NaN,NaN,1,0.4951651,0.4369545
pilot_0807,1502111272604505,1502111811954154,All_of_Main_trial_7,0,NaN,NaN,1,0.5346167,0.4327708
pilot_0807,1502111272621131,1502111811970781,All_of_Main_trial_7,0,NaN,NaN,1,0.4997276,0.4315686
pilot_0807,1502111272637754,1502111811987406,All_of_Main_trial_7,0,NaN,NaN,1,0.4878795,0.4295109
pilot_0807,1502111272654771,1502111812004425,All_of_Main_trial_7,0,NaN,NaN,1,0.4923984,0.4325385
pilot_0807,1502111272671506,1502111812021162,All_of_Main_trial_7,0,NaN,NaN,1,0.5048633,0.428585
pilot_0807,1502111272688131,1502111812037789,All_of_Main_trial_7,0,NaN,NaN,1,0.5013632,0.4321369
pilot_0807,1502111272704382,1502111812054041,All_of_Main_trial_7,0,NaN,NaN,1,0.5821636,0.4330081
pilot_0807,1502111272721007,1502111812070668,All_of_Main_trial_7,0,NaN,NaN,1,0.5349354,0.430939
pilot_0807,1502111272737633,1502111812087296,All_of_Main_trial_7,0,NaN,NaN,1,0.486181,0.4293765
pilot_0807,1502111272754758,1502111812104423,All_of_Main_trial_7,0,NaN,NaN,1,0.5504341,0.4378065
pilot_0807,1502111272771383,1502111812121050,All_of_Main_trial_7,0,NaN,NaN,1,0.5210602,0.461461
pilot_0807,1502111272788009,1502111812137678,All_of_Main_trial_7,0,NaN,NaN,1,0.5080893,0.4601055
pilot_0807,1502111272804384,1502111812154055,All_of_Main_trial_7,0,NaN,NaN,1,0.5175189,0.4613891
pilot_0807,1502111272821008,1502111812170680,All_of_Main_trial_7,0,NaN,NaN,1,0.5158275,0.4622653
pilot_0807,1502111272837633,1502111812187307,All_of_Main_trial_7,0,NaN,NaN,1,0.5141677,0.4570564
