subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1004_4pm,1507146465364246,1507147018472540,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465380912,1507147018489208,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465398084,1507147018506382,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465414750,1507147018523050,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465431884,1507147018540187,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465447631,1507147018555936,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465464297,1507147018572604,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465480463,1507147018588772,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465497129,1507147018605440,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465513572,1507147018621886,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465530238,1507147018638554,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465546640,1507147018654958,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465563254,1507147018671574,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465580192,1507147018688514,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465596858,1507147018705183,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465613994,1507147018722321,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465630660,1507147018738989,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465647831,1507147018756162,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465664497,1507147018772831,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465681754,1507147018790090,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465697440,1507147018805778,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465714106,1507147018822447,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465730304,1507147018838646,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465746970,1507147018855315,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465763367,1507147018871714,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465780033,1507147018888383,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465796388,1507147018904740,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465813126,1507147018921480,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465830000,1507147018938356,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465846666,1507147018955024,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465863770,1507147018972131,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465880436,1507147018988799,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465897655,1507147019006020,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465914321,1507147019022688,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465931506,1507147019039876,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507146465946379,1507147019054751,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
