subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1005,1507216415183596,1507216968742087,All_of_Practice_1,1,0.5762137,0.4211712,1,0.7340955,0.3925296
pilot_1005,1507216415200220,1507216968758713,All_of_Practice_1,1,0.5675981,0.438374,1,0.7300333,0.41007
pilot_1005,1507216415216968,1507216968775464,All_of_Practice_1,1,0.5658163,0.4323687,1,0.7296957,0.4066
pilot_1005,1507216415233592,1507216968792090,All_of_Practice_1,1,0.5567769,0.4396379,1,0.7279564,0.4189801
pilot_1005,1507216415250218,1507216968808719,All_of_Practice_1,1,0.5622247,0.4334587,1,0.7187535,0.4143203
pilot_1005,1507216415266842,1507216968825345,All_of_Practice_1,1,0.5602915,0.4172476,1,0.7204009,0.4279786
pilot_1005,1507216415283466,1507216968841972,All_of_Practice_1,1,0.5569367,0.4256702,1,0.7228894,0.4348574
pilot_1005,1507216415300216,1507216968858724,All_of_Practice_1,1,0.572095,0.4020059,1,0.7207454,0.4326838
pilot_1005,1507216415316841,1507216968875352,All_of_Practice_1,1,0.5816856,0.4185908,1,0.7354108,0.4100716
pilot_1005,1507216415333466,1507216968891979,All_of_Practice_1,1,0.5755879,0.4404298,1,0.7249334,0.4248031
pilot_1005,1507216415350096,1507216968908612,All_of_Practice_1,1,0.5738023,0.4322411,1,0.7236463,0.4102775
pilot_1005,1507216415366854,1507216968925373,All_of_Practice_1,1,0.5647582,0.4412576,1,0.7295343,0.4380493
pilot_1005,1507216415383465,1507216968941986,All_of_Practice_1,1,0.5673887,0.4508052,1,0.736729,0.4051039
pilot_1005,1507216415400095,1507216968958619,All_of_Practice_1,1,0.5219404,0.4749018,1,0.6751133,0.4415891
pilot_1005,1507216415416713,1507216968975239,All_of_Practice_1,1,0.5096895,0.4322532,1,0.6710722,0.4514275
pilot_1005,1507216415433337,1507216968991866,All_of_Practice_1,1,0.509169,0.4687092,1,0.6486142,0.4871715
pilot_1005,1507216415450087,1507216969008618,All_of_Practice_1,1,0.499104,0.4566255,1,0.6553816,0.4645472
pilot_1005,1507216415466712,1507216969025246,All_of_Practice_1,1,0.5081323,0.4574669,1,0.6750857,0.4390716
pilot_1005,1507216415483337,1507216969041873,All_of_Practice_1,1,0.5110607,0.4709148,1,0.6680691,0.4328915
pilot_1005,1507216415499962,1507216969058501,All_of_Practice_1,1,0.5075929,0.4335965,1,0.6606378,0.4335283
pilot_1005,1507216415516712,1507216969075253,All_of_Practice_1,1,0.5197219,0.4755627,1,0.6736493,0.4513577
pilot_1005,1507216415533335,1507216969091879,All_of_Practice_1,1,0.5063661,0.4487631,1,0.6604024,0.4385164
pilot_1005,1507216415549960,1507216969108506,All_of_Practice_1,1,0.5141972,0.4453441,1,0.6487955,0.4668305
pilot_1005,1507216415566585,1507216969125134,All_of_Practice_1,1,0.5094184,0.4605826,1,0.6542847,0.4736215
pilot_1005,1507216415583208,1507216969141759,All_of_Practice_1,1,0.5049434,0.4562002,1,0.6542836,0.4481066
pilot_1005,1507216415599957,1507216969158511,All_of_Practice_1,1,0.5048109,0.4603651,1,0.6681243,0.4392915
pilot_1005,1507216415616583,1507216969175139,All_of_Practice_1,1,0.5006399,0.465275,1,0.6606184,0.4482977
pilot_1005,1507216415633207,1507216969191765,All_of_Practice_1,1,0.5248637,0.46104,1,0.6581508,0.4629399
pilot_1005,1507216415649832,1507216969208393,All_of_Practice_1,1,0.4752354,0.4378984,1,0.6380454,0.482895
pilot_1005,1507216415666582,1507216969225145,All_of_Practice_1,1,0.4975697,0.5026491,1,0.6392549,0.4782538
pilot_1005,1507216415683207,1507216969241773,All_of_Practice_1,1,0.4939251,0.4702571,1,0.6464373,0.4577447
pilot_1005,1507216415699832,1507216969258400,All_of_Practice_1,1,0.4874781,0.4494319,1,0.6401001,0.4717981
pilot_1005,1507216415716456,1507216969275027,All_of_Practice_1,1,0.4898432,0.4585942,1,0.6369031,0.4582551
pilot_1005,1507216415733081,1507216969291655,All_of_Practice_1,1,0.4862215,0.4933146,1,0.6530759,0.4609482
pilot_1005,1507216415749831,1507216969308408,All_of_Practice_1,1,0.4915829,0.4595512,1,0.6287123,0.4917136
pilot_1005,1507216415766454,1507216969325033,All_of_Practice_1,1,0.4968126,0.468709,1,0.6428919,0.4746329
pilot_1005,1507216415783077,1507216969341659,All_of_Practice_1,1,0.4837882,0.4533764,1,0.6461116,0.4625657
pilot_1005,1507216415799703,1507216969358287,All_of_Practice_1,1,0.4886383,0.4799818,1,0.6366937,0.4631793
pilot_1005,1507216415816452,1507216969375039,All_of_Practice_1,1,0.488627,0.4770415,1,0.6497882,0.472562
pilot_1005,1507216415833079,1507216969391668,All_of_Practice_1,1,0.4872662,0.4802057,1,0.6317892,0.4941225
pilot_1005,1507216415849702,1507216969408293,All_of_Practice_1,0,NaN,NaN,1,0.5952354,0.9715846
pilot_1005,1507216415866327,1507216969424921,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216415882951,1507216969441548,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216415899702,1507216969458301,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216415916326,1507216969474928,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216415932955,1507216969491559,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216415949639,1507216969508245,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216415966305,1507216969524914,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216415982957,1507216969541568,All_of_Practice_1,1,0.4834324,0.4749807,1,0.6373497,0.4715085
pilot_1005,1507216415999573,1507216969558187,All_of_Practice_1,1,0.4927913,0.4787338,1,0.6498123,0.4350124
