subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1005,1507216814641856,1507217368260004,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814658481,1507217368276631,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814675106,1507217368293259,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814692669,1507217368310824,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814709335,1507217368327493,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814725676,1507217368343836,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814742342,1507217368360505,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814759008,1507217368377173,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814775104,1507217368393272,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814791726,1507217368409896,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814808414,1507217368426587,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814825080,1507217368443255,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814841601,1507217368459779,All_of_noBias_trial_2,1,0.4810818,0.499744,1,0.4698537,0.5043578
pilot_1005,1507216814858351,1507217368476531,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814874976,1507217368493159,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814891642,1507217368509827,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216814908225,1507217368526413,All_of_noBias_trial_2,1,0.4933715,0.4871904,1,0.465159,0.4667348
pilot_1005,1507216814924975,1507217368543165,All_of_noBias_trial_2,1,0.4913818,0.4817933,1,0.4690446,0.4721449
pilot_1005,1507216814941600,1507217368559793,All_of_noBias_trial_2,1,0.4963613,0.4412929,1,0.4738645,0.4649735
pilot_1005,1507216814958221,1507217368576416,All_of_noBias_trial_2,1,0.4903549,0.511759,1,0.4651679,0.467661
pilot_1005,1507216814974846,1507217368593044,All_of_noBias_trial_2,1,0.4923701,0.5050954,1,0.4568903,0.4783339
pilot_1005,1507216814991471,1507217368609671,All_of_noBias_trial_2,1,0.4912995,0.4761126,1,0.4694515,0.506462
pilot_1005,1507216815008221,1507217368626424,All_of_noBias_trial_2,1,0.5216431,0.5152891,1,0.4540852,0.5126029
pilot_1005,1507216815024859,1507217368643064,All_of_noBias_trial_2,1,0.495305,0.4901172,1,0.4576315,0.4779661
pilot_1005,1507216815041471,1507217368659679,All_of_noBias_trial_2,1,0.4826103,0.5215216,1,0.4784726,0.4887133
pilot_1005,1507216815058096,1507217368676306,All_of_noBias_trial_2,1,0.4815548,0.4721519,1,0.4647038,0.5121536
pilot_1005,1507216815074857,1507217368693070,All_of_noBias_trial_2,1,0.5239276,0.5635657,1,0.4458595,0.5596722
pilot_1005,1507216815091470,1507217368709685,All_of_noBias_trial_2,1,0.4849949,0.4738729,1,0.4732271,0.496764
pilot_1005,1507216815108095,1507217368726313,All_of_noBias_trial_2,1,0.5287231,0.8990093,1,0.432164,0.7510428
pilot_1005,1507216815124731,1507217368742952,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815141343,1507217368759566,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815158092,1507217368776318,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815174716,1507217368792944,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815191341,1507217368809572,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815207966,1507217368826199,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815224717,1507217368842953,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815241341,1507217368859579,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815258591,1507217368876832,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815275257,1507217368893500,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815292326,1507217368910572,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815308992,1507217368927240,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815325658,1507217368943909,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815343089,1507217368961342,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815357962,1507217368976218,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815374587,1507217368992844,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815391253,1507217369009514,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815407837,1507217369026099,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815424589,1507217369042854,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216815441085,1507217369059352,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
