subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1012_10am,1507820217606501,1507820772850077,All_of_Main_trial_7,0,NaN,NaN,1,0.3844368,0.2521206
pilot_1012_10am,1507820217623138,1507820772866715,All_of_Main_trial_7,0,NaN,NaN,1,0.3810258,0.2558223
pilot_1012_10am,1507820217639750,1507820772883328,All_of_Main_trial_7,0,NaN,NaN,1,0.3822359,0.260478
pilot_1012_10am,1507820217656501,1507820772900081,All_of_Main_trial_7,1,0.3902797,0.3101007,1,0.3779383,0.2586975
pilot_1012_10am,1507820217673127,1507820772916708,All_of_Main_trial_7,1,0.4117015,0.3234888,1,0.378074,0.2544267
pilot_1012_10am,1507820217689879,1507820772933461,All_of_Main_trial_7,1,0.3946863,0.3093606,1,0.3637682,0.2612295
pilot_1012_10am,1507820217706379,1507820772949962,All_of_Main_trial_7,1,0.3862803,0.2397206,1,0.3601143,0.2593342
pilot_1012_10am,1507820217723009,1507820772966593,All_of_Main_trial_7,1,0.4052033,0.2822549,1,0.3797516,0.2679254
pilot_1012_10am,1507820217739757,1507820772983343,All_of_Main_trial_7,1,0.4025966,0.2818878,1,0.3687097,0.2588454
pilot_1012_10am,1507820217756383,1507820772999970,All_of_Main_trial_7,1,0.4036799,0.2779057,1,0.3818896,0.2664899
pilot_1012_10am,1507820217773009,1507820773016597,All_of_Main_trial_7,1,0.4159298,0.2867682,1,0.3709517,0.2851849
pilot_1012_10am,1507820217789635,1507820773033224,All_of_Main_trial_7,1,0.4147374,0.2841624,0,NaN,NaN
pilot_1012_10am,1507820217806259,1507820773049849,All_of_Main_trial_7,1,0.4131745,0.2920761,1,0.3864718,0.1820301
pilot_1012_10am,1507820217823011,1507820773066602,All_of_Main_trial_7,1,0.4103189,0.2892468,1,0.3903402,0.1646198
pilot_1012_10am,1507820217839636,1507820773083229,All_of_Main_trial_7,1,0.4296884,0.2265961,1,0.3942086,0.1472094
pilot_1012_10am,1507820217856262,1507820773099856,All_of_Main_trial_7,1,0.4186265,0.2797394,1,0.3896875,0.1564934
