subjectID,system_time_stamp,point_description
pilot_1012_10am,1507819884500131,Experiment Start
pilot_1012_10am,1507819889993156,Start_Practice_Trial 
pilot_1012_10am,1507819890391194,ambigAudio_Practice 
pilot_1012_10am,1507819893123475,ambigAudio_Practice End 
pilot_1012_10am,1507819893521341,ambigVideo_Practice 
pilot_1012_10am,1507819898898601,ambigVideo_Practice 
pilot_1012_10am,1507819899476816,ambigAudio_Practice_1_ball
pilot_1012_10am,1507819902143223,ambigAudio_Practice_1_ball End
pilot_1012_10am,1507819902512654,ambigVideo_Practice_1_ball
pilot_1012_10am,1507819908810622,ambigVideo_Practice_1_ball End
pilot_1012_10am,1507819909573124,trainingAudio_Practice_1_ball
pilot_1012_10am,1507819912289585,trainingAudio_Practice_1_ball
pilot_1012_10am,1507819912766453,trainingVideo_Practice_1_ball
pilot_1012_10am,1507819916521902,trainingVideo_Practice_1_ball
pilot_1012_10am,1507819917139423,trainingAudio_Practice_3_ball
pilot_1012_10am,1507819919847825,trainingAudio_Practice_3_ball End
pilot_1012_10am,1507819920237402,trainingVideo_Practice_3_ball
pilot_1012_10am,1507819925284479,trainingVideo_Practice_3_ball
pilot_1012_10am,1507819925744487,testAudio_Practice_ball
pilot_1012_10am,1507819928207508,testAudio_Practice_ball End
pilot_1012_10am,1507819928499356,left_testVideo_Practice_ball
pilot_1012_10am,1507819933741902,left_testVideo_Practice_ball End
pilot_1012_10am,1507819934282255,right_testVideo_Practice_ball
pilot_1012_10am,1507819938764883,testAudio_Practice_ball
pilot_1012_10am,1507819941463018,testVideos_Practice_ball
pilot_1012_10am,1507819949952438,End_Practice_Trial_1 
pilot_1012_10am,1507819950131022,attention grabber start
pilot_1012_10am,1507819958382006,Start_Practice_Trial_2 
pilot_1012_10am,1507819958443071,ambigAudio_Practice_book
pilot_1012_10am,1507819961765320,ambigVideo_Practice_book
pilot_1012_10am,1507819966981536,trainingAudio_Practice_1_book
pilot_1012_10am,1507819969725160,trainingVideo_Practice_1_book
pilot_1012_10am,1507819975863321,trainingAudio_Practice_2_book
pilot_1012_10am,1507819978572752,trainingVideo_Practice_2_book
pilot_1012_10am,1507819984768251,trainingAudio_Practice_3_book
pilot_1012_10am,1507819987550399,trainingVideo_Practice_3_book
pilot_1012_10am,1507819993733582,testAudio_Practice_book
pilot_1012_10am,1507819996315607,left_testVideo_Practice_book
pilot_1012_10am,1507820002044298,right_testVideo_Practice_book
pilot_1012_10am,1507820007268105,testAudio_Practice_book
pilot_1012_10am,1507820009856681,testVideos_Practice_book
pilot_1012_10am,1507820018609748,End_Practice_Trial_2 
pilot_1012_10am,1507820018756749,attention grabber
pilot_1012_10am,1507820025125414,Start_Practice_Trial_3 
pilot_1012_10am,1507820025161120,ambigAudio_Practice_1_cake
pilot_1012_10am,1507820028476330,ambigVideo_Practice_1_cake
pilot_1012_10am,1507820033769214,trainingAudio_Practice_1_cake
pilot_1012_10am,1507820036643570,trainingVideo_Practice_1_cake
pilot_1012_10am,1507820043249981,trainingAudio_Practice_1_cake
pilot_1012_10am,1507820046064481,trainingVideo_Practice_2_cake
pilot_1012_10am,1507820051238534,trainingAudio_Practice_3_cake
pilot_1012_10am,1507820054019171,trainingVideo_Practice_3_cake
pilot_1012_10am,1507820059005221,testAudio_Practice_cake
pilot_1012_10am,1507820062058941,left_testVideo_Practice_cake
pilot_1012_10am,1507820068451016,right_testVideo_Practice_cake
pilot_1012_10am,1507820073718755,testAudio_Practice_cake
pilot_1012_10am,1507820076718461,testVideos_Practice_cake
pilot_1012_10am,1507820085980339,End__Practice_Trial_3 
pilot_1012_10am,1507820086127724,attention grabber
pilot_1012_10am,1507820092226549,Start_Practice_Trial_4 
pilot_1012_10am,1507820092274782,ambigAudio_Practice_car
pilot_1012_10am,1507820096047261,ambigVideo_Practice_car
pilot_1012_10am,1507820101745139,trainingAudio_Practice_1_car
pilot_1012_10am,1507820105095806,trainingVideo_Practice_1_car
pilot_1012_10am,1507820110655252,trainingAudio_Practice_2_car
pilot_1012_10am,1507820114072414,trainingVideo_Practice_2_car
pilot_1012_10am,1507820118558778,trainingAudio_Practice_3_car
pilot_1012_10am,1507820121970572,trainingVideo_Practice_3_car
pilot_1012_10am,1507820127369881,testAudio_Practice_car
pilot_1012_10am,1507820130515237,left_testVideo_Practice_car
pilot_1012_10am,1507820136695476,right_testVideo_Practice_car
pilot_1012_10am,1507820142860281,testAudio_Practice_car
pilot_1012_10am,1507820146163650,testVideos_Practice_car
pilot_1012_10am,1507820155119078,End_Practice_Trial_4 
pilot_1012_10am,1507820155316710,attention grabber
pilot_1012_10am,1507820164073996,Start_noBias_Trial 1
pilot_1012_10am,1507820164238965,ambigAudio_noBias1
