subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_adult1,1501682298422474,1501682836031037,All_of_Main_trial_7,1,0.7119222,0.4990663,1,0.7481394,0.5051127
pilot_adult1,1501682298439101,1501682836047665,All_of_Main_trial_7,1,0.739379,0.4927734,1,0.7517151,0.5141447
pilot_adult1,1501682298455852,1501682836064418,All_of_Main_trial_7,1,0.7455989,0.485461,1,0.7480423,0.5066274
pilot_adult1,1501682298472478,1501682836081045,All_of_Main_trial_7,1,0.7162609,0.5166074,1,0.7379957,0.520251
pilot_adult1,1501682298489103,1501682836097672,All_of_Main_trial_7,1,0.7256104,0.4980513,1,0.7464809,0.513737
pilot_adult1,1501682298505729,1501682836114299,All_of_Main_trial_7,1,0.7320691,0.4669988,1,0.7444867,0.5292132
pilot_adult1,1501682298522476,1501682836131048,All_of_Main_trial_7,1,0.7387633,0.4775946,1,0.7367533,0.5365649
pilot_adult1,1501682298539101,1501682836147674,All_of_Main_trial_7,1,0.7360827,0.5095016,1,0.7480053,0.527016
pilot_adult1,1501682298555721,1501682836164296,All_of_Main_trial_7,1,0.7203963,0.5236918,1,0.7294515,0.5239522
pilot_adult1,1501682298572360,1501682836180936,All_of_Main_trial_7,1,0.7295077,0.5042341,1,0.73584,0.5180163
pilot_adult1,1501682298588980,1501682836197557,All_of_Main_trial_7,1,0.7156683,0.4952353,1,0.7429875,0.5071043
pilot_adult1,1501682298605728,1501682836214307,All_of_Main_trial_7,1,0.7477764,0.4806008,1,0.7412201,0.5164502
pilot_adult1,1501682298622356,1501682836230936,All_of_Main_trial_7,1,0.7142166,0.4923623,1,0.7514501,0.4973219
pilot_adult1,1501682298638981,1501682836247563,All_of_Main_trial_7,1,0.7339219,0.4927315,1,0.7401682,0.5277179
pilot_adult1,1501682298655609,1501682836264192,All_of_Main_trial_7,1,0.7313811,0.4816805,1,0.7306992,0.5366459
pilot_adult1,1501682298672357,1501682836280942,All_of_Main_trial_7,1,0.7344326,0.4855204,1,0.7446864,0.5273181
pilot_adult1,1501682298688981,1501682836297567,All_of_Main_trial_7,1,0.7349498,0.4919567,1,0.7549218,0.521965
pilot_adult1,1501682298705606,1501682836314194,All_of_Main_trial_7,1,0.7417468,0.497539,1,0.7364638,0.5259598
pilot_adult1,1501682298722232,1501682836330821,All_of_Main_trial_7,1,0.7420248,0.4967439,1,0.748728,0.5089243
pilot_adult1,1501682298738862,1501682836347453,All_of_Main_trial_7,1,0.6834861,0.4816264,1,0.6952286,0.5076208
pilot_adult1,1501682298755608,1501682836364200,All_of_Main_trial_7,1,0.5522271,0.4518265,1,0.5405107,0.4746782
pilot_adult1,1501682298772233,1501682836380827,All_of_Main_trial_7,1,0.5212591,0.4496259,1,0.5297697,0.4413548
pilot_adult1,1501682298788859,1501682836397454,All_of_Main_trial_7,1,0.5055786,0.4654602,1,0.5208816,0.4421988
pilot_adult1,1501682298805485,1501682836414082,All_of_Main_trial_7,1,0.5125387,0.4851537,1,0.5233568,0.4258476
pilot_adult1,1501682298822237,1501682836430835,All_of_Main_trial_7,1,0.506446,0.4903991,1,0.5234655,0.4048022
pilot_adult1,1501682298838862,1501682836447462,All_of_Main_trial_7,0,NaN,NaN,1,0.4840036,0.5081087
pilot_adult1,1501682298855486,1501682836464087,All_of_Main_trial_7,1,0.521418,0.4700707,1,0.5162221,0.4680231
pilot_adult1,1501682298872113,1501682836480716,All_of_Main_trial_7,1,0.5099446,0.4341078,1,0.5111231,0.4635997
pilot_adult1,1501682298888850,1501682836497454,All_of_Main_trial_7,1,0.5092218,0.4388354,1,0.5067933,0.4432437
pilot_adult1,1501682298905481,1501682836514086,All_of_Main_trial_7,0,NaN,NaN,1,0.5086322,0.4589739
pilot_adult1,1501682298922107,1501682836530714,All_of_Main_trial_7,1,0.5294088,0.4497786,1,0.5292637,0.4543186
pilot_adult1,1501682298938748,1501682836547356,All_of_Main_trial_7,1,0.5124851,0.4637123,1,0.5130059,0.4677753
pilot_adult1,1501682298955363,1501682836563973,All_of_Main_trial_7,1,0.5103065,0.4289412,1,0.5208278,0.4637161
