subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_adult1,1501681495818580,1501682033356316,All_of_Practice_2,1,0.6236811,0.4567795,1,0.6533948,0.4453111
pilot_adult1,1501681495835213,1501682033372951,All_of_Practice_2,1,0.615094,0.4618808,1,0.6493254,0.4624954
pilot_adult1,1501681495851961,1501682033389700,All_of_Practice_2,1,0.6130416,0.4909771,1,0.6482736,0.4520876
pilot_adult1,1501681495868587,1501682033406328,All_of_Practice_2,1,0.6148752,0.4937657,1,0.655885,0.4379905
pilot_adult1,1501681495885212,1501682033422954,All_of_Practice_2,1,0.6199194,0.4766007,1,0.6509997,0.4332153
pilot_adult1,1501681495901837,1501682033439580,All_of_Practice_2,1,0.6152646,0.4825583,1,0.6473832,0.4390983
pilot_adult1,1501681495918473,1501682033456218,All_of_Practice_2,1,0.6057514,0.4874574,1,0.6602281,0.4390278
pilot_adult1,1501681495935214,1501682033472960,All_of_Practice_2,1,0.6119228,0.4763033,1,0.6547279,0.4376511
pilot_adult1,1501681495951845,1501682033489593,All_of_Practice_2,1,0.6144978,0.4770108,1,0.6540354,0.4480105
pilot_adult1,1501681495968463,1501682033506212,All_of_Practice_2,1,0.6045542,0.5003974,1,0.6407294,0.4504892
pilot_adult1,1501681495985087,1501682033522838,All_of_Practice_2,1,0.6083204,0.4697059,1,0.6445259,0.4445653
pilot_adult1,1501681496001840,1501682033539592,All_of_Practice_2,1,0.6205309,0.4673431,1,0.6495019,0.4420273
pilot_adult1,1501681496018479,1501682033556233,All_of_Practice_2,1,0.6136956,0.4742116,1,0.6510698,0.4302817
pilot_adult1,1501681496035093,1501682033572848,All_of_Practice_2,1,0.6060655,0.5010679,1,0.6540722,0.4447504
pilot_adult1,1501681496051717,1501682033589474,All_of_Practice_2,1,0.6144337,0.4741651,1,0.6432686,0.432495
pilot_adult1,1501681496068340,1501682033606098,All_of_Practice_2,1,0.6196908,0.4450672,1,0.6408348,0.447919
pilot_adult1,1501681496085092,1501682033622851,All_of_Practice_2,1,0.6233979,0.4429737,1,0.649508,0.4511098
pilot_adult1,1501681496101718,1501682033639479,All_of_Practice_2,1,0.6135226,0.4553052,1,0.6490734,0.4394445
pilot_adult1,1501681496118344,1501682033656106,All_of_Practice_2,1,0.6182498,0.4365541,1,0.6447768,0.4410583
pilot_adult1,1501681496134969,1501682033672733,All_of_Practice_2,1,0.6150193,0.4662552,1,0.6483824,0.4408358
pilot_adult1,1501681496151719,1501682033689484,All_of_Practice_2,1,0.6197066,0.4575835,1,0.6478099,0.4350733
pilot_adult1,1501681496168346,1501682033706113,All_of_Practice_2,1,0.6050894,0.5000025,1,0.6483216,0.4503011
pilot_adult1,1501681496184971,1501682033722739,All_of_Practice_2,1,0.6082833,0.4770266,1,0.6419383,0.449542
pilot_adult1,1501681496201596,1501682033739366,All_of_Practice_2,1,0.5202092,0.4645002,1,0.5574121,0.4276781
pilot_adult1,1501681496218222,1501682033755993,All_of_Practice_2,1,0.5084922,0.418153,1,0.5334781,0.4450787
pilot_adult1,1501681496234973,1501682033772745,All_of_Practice_2,1,0.5109378,0.4721092,1,0.5430678,0.4420936
pilot_adult1,1501681496251596,1501682033789370,All_of_Practice_2,1,0.5081102,0.4135061,1,0.5364007,0.4451424
pilot_adult1,1501681496268223,1501682033805998,All_of_Practice_2,1,0.5084777,0.4192107,1,0.538662,0.432566
pilot_adult1,1501681496284848,1501682033822625,All_of_Practice_2,1,0.5004126,0.4841041,1,0.5435077,0.4393213
pilot_adult1,1501681496301599,1501682033839377,All_of_Practice_2,1,0.5084736,0.4336906,1,0.5335828,0.4390046
pilot_adult1,1501681496318225,1501682033856005,All_of_Practice_2,1,0.5016324,0.4302656,1,0.5252274,0.4359082
pilot_adult1,1501681496334848,1501682033872629,All_of_Practice_2,1,0.5043387,0.4080746,1,0.5282367,0.4339537
pilot_adult1,1501681496351485,1501682033889268,All_of_Practice_2,1,0.5047258,0.3968753,1,0.5286247,0.4262317
pilot_adult1,1501681496368102,1501682033905886,All_of_Practice_2,1,0.5016784,0.4417464,1,0.5501422,0.4382775
