subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_adult2,1501686878528907,1501687416220850,All_of_Extend_trial_4,1,0.2821335,0.5440378,1,0.2717499,0.5620675
pilot_adult2,1501686878545648,1501687416237592,All_of_Extend_trial_4,1,0.2793269,0.5329803,1,0.2705853,0.5710841
pilot_adult2,1501686878562272,1501687416254218,All_of_Extend_trial_4,1,0.2791284,0.5311292,1,0.2764149,0.5696351
pilot_adult2,1501686878578898,1501687416270846,All_of_Extend_trial_4,1,0.276901,0.5347414,1,0.2757953,0.5724195
pilot_adult2,1501686878595534,1501687416287483,All_of_Extend_trial_4,1,0.2719268,0.5398782,1,0.273569,0.5785989
pilot_adult2,1501686878612157,1501687416304107,All_of_Extend_trial_4,1,0.2834241,0.5268306,1,0.2719699,0.5559469
pilot_adult2,1501686878628903,1501687416320855,All_of_Extend_trial_4,1,0.2802613,0.5291139,1,0.2727557,0.5666891
pilot_adult2,1501686878645523,1501687416337477,All_of_Extend_trial_4,1,0.2819635,0.5420193,1,0.274162,0.5742689
pilot_adult2,1501686878662160,1501687416354116,All_of_Extend_trial_4,1,0.2827201,0.5333236,1,0.2701208,0.5656211
pilot_adult2,1501686878678784,1501687416370741,All_of_Extend_trial_4,1,0.2776517,0.5481162,1,0.2697263,0.5699088
pilot_adult2,1501686878695527,1501687416387486,All_of_Extend_trial_4,1,0.2782217,0.5433282,1,0.2733247,0.5640454
pilot_adult2,1501686878712155,1501687416404116,All_of_Extend_trial_4,1,0.2848295,0.5400918,1,0.2738976,0.5613992
pilot_adult2,1501686878728786,1501687416420748,All_of_Extend_trial_4,1,0.2790084,0.5235685,1,0.2768262,0.5662869
pilot_adult2,1501686878745411,1501687416437375,All_of_Extend_trial_4,1,0.2771871,0.5322648,1,0.2740956,0.5660425
pilot_adult2,1501686878762151,1501687416454117,All_of_Extend_trial_4,1,0.2744529,0.5399101,1,0.270959,0.5656269
pilot_adult2,1501686878778776,1501687416470743,All_of_Extend_trial_4,1,0.2888365,0.5273579,1,0.2754527,0.566236
pilot_adult2,1501686878795399,1501687416487368,All_of_Extend_trial_4,1,0.2819451,0.5381104,1,0.2759409,0.5593983
pilot_adult2,1501686878812035,1501687416504006,All_of_Extend_trial_4,1,0.2771145,0.5494971,1,0.277374,0.5773856
pilot_adult2,1501686878828656,1501687416520628,All_of_Extend_trial_4,1,0.2853093,0.5472128,1,0.2729726,0.5666375
pilot_adult2,1501686878845400,1501687416537374,All_of_Extend_trial_4,1,0.3416855,0.496885,1,0.3414018,0.5172594
pilot_adult2,1501686878862026,1501687416554002,All_of_Extend_trial_4,1,0.4800132,0.4285281,1,0.475035,0.4467428
pilot_adult2,1501686878878662,1501687416570640,All_of_Extend_trial_4,1,0.4878922,0.4473656,1,0.4925965,0.464361
pilot_adult2,1501686878895295,1501687416587274,All_of_Extend_trial_4,1,0.5061322,0.4372326,1,0.5046842,0.4537738
pilot_adult2,1501686878911905,1501687416603886,All_of_Extend_trial_4,1,0.5070272,0.4270802,1,0.4999609,0.4554955
pilot_adult2,1501686878928538,1501687416620520,All_of_Extend_trial_4,1,0.504962,0.4354584,1,0.497526,0.4600655
pilot_adult2,1501686878945285,1501687416637269,All_of_Extend_trial_4,1,0.5066534,0.4372591,1,0.5009146,0.4596191
pilot_adult2,1501686878961914,1501687416653900,All_of_Extend_trial_4,1,0.5020859,0.4337902,1,0.5042434,0.446831
pilot_adult2,1501686878978537,1501687416670524,All_of_Extend_trial_4,1,0.4984773,0.442126,1,0.497258,0.4617779
pilot_adult2,1501686878995162,1501687416687151,All_of_Extend_trial_4,1,0.5059431,0.4283141,1,0.501066,0.4582602
pilot_adult2,1501686879011902,1501687416703893,All_of_Extend_trial_4,1,0.4987047,0.4376159,1,0.4993759,0.4590194
pilot_adult2,1501686879028528,1501687416720520,All_of_Extend_trial_4,1,0.5013763,0.4426723,1,0.5003849,0.4582947
pilot_adult2,1501686879045163,1501687416737157,All_of_Extend_trial_4,1,0.4967554,0.4411252,1,0.5016391,0.4560076
pilot_adult2,1501686879061789,1501687416753784,All_of_Extend_trial_4,1,0.5030419,0.4331304,1,0.5036975,0.4521528
pilot_adult2,1501686879078529,1501687416770526,All_of_Extend_trial_4,1,0.498903,0.4371674,1,0.497991,0.4596493
pilot_adult2,1501686879095154,1501687416787153,All_of_Extend_trial_4,1,0.5009285,0.436771,1,0.4995866,0.4596278
pilot_adult2,1501686879111790,1501687416803790,All_of_Extend_trial_4,1,0.4976247,0.4431159,1,0.5014002,0.4488179
pilot_adult2,1501686879128415,1501687416820417,All_of_Extend_trial_4,1,0.5021437,0.4331309,1,0.5037776,0.4611643
pilot_adult2,1501686879145034,1501687416837038,All_of_Extend_trial_4,1,0.4906793,0.4410542,1,0.5003372,0.4549129
pilot_adult2,1501686879161664,1501687416853669,All_of_Extend_trial_4,1,0.4968879,0.4393532,1,0.5032337,0.4595574
pilot_adult2,1501686879178404,1501687416870411,All_of_Extend_trial_4,1,0.5013615,0.4390565,1,0.5017143,0.4573585
pilot_adult2,1501686879195040,1501687416887049,All_of_Extend_trial_4,1,0.5032799,0.442125,1,0.5027625,0.4568104
pilot_adult2,1501686879211665,1501687416903675,All_of_Extend_trial_4,1,0.5035387,0.4351051,1,0.5022895,0.4583959
pilot_adult2,1501686879228291,1501687416920303,All_of_Extend_trial_4,1,0.5031759,0.4352463,1,0.5017427,0.466895
pilot_adult2,1501686879245031,1501687416937045,All_of_Extend_trial_4,1,0.4985785,0.4448412,1,0.501686,0.4629817
pilot_adult2,1501686879261666,1501687416953682,All_of_Extend_trial_4,1,0.5047434,0.4413379,1,0.5053528,0.4574579
pilot_adult2,1501686879278292,1501687416970309,All_of_Extend_trial_4,1,0.5001578,0.4518644,1,0.5040581,0.4416582
pilot_adult2,1501686879295032,1501687416987051,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879311537,1501687417003558,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879328281,1501687417020303,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879344928,1501687417036952,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879361541,1501687417053567,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879378162,1501687417070189,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879394913,1501687417086942,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879411532,1501687417103563,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879428168,1501687417120200,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879444794,1501687417136827,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879461534,1501687417153569,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879478166,1501687417170203,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879494795,1501687417186834,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879511046,1501687417203086,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879528293,1501687417220335,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879544919,1501687417236962,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686879561543,1501687417253588,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
